AG;AGREGADO
AL;ALDEA
AL;ALAMEDA
AR;AREA
AR;ARRABAL
AU;AUTOPISTA
AV;AVENIDA
AY;ARROYO
BJ;BAJADA
BO;BARRIO
BR;BARRANCO
CA;CAÑADA
CG;COLEGIO
CG;CIGARRAL
CH;CHALET
CI;CINTURON
CJ;CALLEJA
CJ;CALLEJON
CL;CALLE
CM;CAMINO
CM;CARMEN
CN;COLONIA
CO;CONCEJO
CO;COLEGIO
CP;CAMPA
CA;CAMPO
CR;CARRETERA
CR;CARRERA
CS;CASERIO
CT;CUESTA
CT;COSTANILLA
CU;CONJUNTO
DE;DETRÁS
DP;DIPUTACION
DS;DISEMINADOS
ED;EDIFICIOS
EM;EXTRAMUROS
EN;ENTRADA, ENSANCHE
ER;EXTRARRADIO
ES;ESCALINATA
EX;EXPLANADA
FC;FERROCARRIL
FN;FINCA
GL;GLORIETA
GR;GRUPO
GV;GRAN VIA
HT;HUERTA
HT;HUERTO
JR;JARDINES
LD;LADO
LD;LADERA
LG;LUGAR
MC;MERCADO
ML;MUELLE
MN;MUNICIPIO
MS;MASIAS
MT;MONTE
MZ;MANZANA
PB;POBLADO
PD;PARTIDA
PJ;PASAJE, PASADIZO
PL;POLIGONO
PM;PARAMO
PQ;PARROQUIA
PQ;PARQUE
PR;PROLONGACION
PR;CONTINUAC.
PS;PASEO
PT;PUENTE
PZ;PLAZA
QT;QUINTA
RB;RAMBLA
RC;RINCON
RC;RINCONA
RD;RONDA
RM;RAMAL
RP;RAMPA
RR;RIERA
RU;RUA
SA;SALIDA
SD;SENDA
SL;SOLAR
SN;SALON
SU;SUBIDA
TN;TERRENOS
TO;TORRENTE
TR;TRAVESIA
UR;URBANIZACION
VR;VEREDA
CY;CALEYA
